"drug","status","n_samples","n_tissues","mse_en","mse_dsen","pct_improvement","alpha_en","alpha_dsen","lamrat_dsen","lambda_en","lambda_dsen"
"Shikonin","success",716,13,0.0314160572346138,0.0307776759152623,2.03202239728589,0.05,1,0.125,0.327929469670032,0.169375731510186
"AKT inhibitor VIII","success",717,13,0.00301241259642181,0.00301890273642379,-0.215446582904523,1,0.05,1,0.00830299678143484,0.117170638189548
"Embelin","success",689,12,0.0106387461569014,0.010192957199949,4.1902396238974,0.05,0.1,2,0.189844278627272,0.0364815434974516
"FH535","success",686,12,0.0217595075944252,0.0216220592021802,0.631670508390911,0.05,0.05,4,0.310551686172117,0.0840429359394066
"PAC-1","success",655,11,0.0044959261472974,0.00416089309622079,7.45192514512271,0.2,0.05,4,0.0285975178680151,0.0460887610492039
"IPA-3","success",688,12,0.0123536011556276,0.0117576309090339,4.82426329849774,0.05,0.05,2,0.150686813080082,0.0926615404305059
"GSK650394","success",680,12,0.0154135411136554,0.0151455497124937,1.73867509863941,0.2,0.5,0.5,0.0778037305320824,0.0539556489695934
"BAY-61-3606","success",688,12,0.0145731485175225,0.0134998728681451,7.36474789978924,0.05,0.05,2,0.170999641109664,0.087065648242248
"5-Fluorouracil","success",755,13,0.0269509857686105,0.0241588756180719,10.3599555671561,0.05,0.05,4,0.198045542927612,0.0314166011620373
"Thapsigargin","success",676,12,0.0615350076023656,0.0611752219262183,0.584684540013597,1,0.1,0.125,0.0236349743625072,1.48145743956175
"Obatoclax Mesylate","success",681,12,0.0488491580349073,0.0473852472834513,2.9967983284581,0.05,0.05,4,0.364885684541018,0.127217172491288
"BMS-754807","success",661,11,0.0337424085248395,0.0335027127639108,0.710369447255996,0.05,0.05,4,0.26002250520166,0.0814623149222133
"Linsitinib","success",685,12,0.0138650399803667,0.0135557863024351,2.23045644563233,0.05,0.05,4,0.207888110775569,0.0258170722770113
"Bexarotene","success",679,12,0.00472998990826434,0.00471039873714834,0.414190547886176,0.5,0.4,0.5,0.0420372001544744,0.0833590422352802
"Bleomycin","success",685,12,0.0788757615368962,0.0779986316740413,1.11203980255021,0.2,0.9,0.5,0.143026733927647,0.0595050833557558
"LFM-A13","success",688,12,0.000621358014091391,0.000619872956339106,0.239001947123252,1,0.3,1,0.00666671231776156,0.0224674426198433
"GW-2580","success",759,13,0.00134182631607022,0.00134076939992466,0.0787669859282192,0.05,0.05,4,0.324368863762373,0.254079798905331
"Luminespib","success",684,12,0.0286033134474623,0.0282599600486667,1.20039728762998,1,1,1,0.0207181968625335,0.0240863297159896
"Phenformin","success",752,13,0.0386342273750493,0.0365680962422648,5.34792921501206,0.05,1,4,0.307251732466408,0.0101138349623051
"Bryostatin 1","success",685,12,0.00144910770102019,0.00143590874554717,0.910833298569056,1,0.05,4,0.00822337259822448,0.0384552109624184
"Pazopanib","success",686,12,0.00748750506701208,0.00741517503364619,0.966009808588279,0.05,0.05,1,0.154464695024882,0.186171736757191
"Dacinostat","success",689,12,0.02765206352664,0.0261323461488323,5.49585522376501,0.05,0.05,2,0.189698923489419,0.132138590380489
"Epothilone B","success",688,12,0.0435859776668126,0.0429947070671895,1.35656151651103,1,0.8,0.125,0.0245964389033449,0.246832225895464
"GSK1904529A","success",688,12,0.000477240936981939,0.000465275988065661,2.50710867176308,0.05,0.05,4,0.0633536564967198,0.0167665890569069
"BMS-345541","success",759,13,0.00747907441038767,0.00707917215010233,5.34694854392562,0.05,0.8,4,0.117237130617493,0.00477973113001637
"Tipifarnib","success",686,12,0.0369118292242239,0.0374529251943938,-1.46591480710167,1,1,0.125,0.020800610739381,0.236122768831824
"Avagacestat_repl_205","success",759,13,0.000189075070004631,0.000189260578084329,-0.0981134528701084,0.05,0.05,0.125,0.0476912286480725,0.69879098037831
"Ruxolitinib","success",758,13,0.00489309709872542,0.00450726572579398,7.88521799479406,0.05,0.8,4,0.256195614355802,0.00234303347005793
"AS601245","success",685,12,0.0075315827657025,0.00748179039363181,0.661114318459527,0.05,0.05,0.5,0.143144282832844,0.323306391222482
"Ispinesib Mesylate","success",758,13,0.0194360362924191,0.0184414629405224,5.11716142598823,0.05,0.05,2,0.191959492476002,0.101944592349835
"TL-2-105","success",760,13,0.00856264210122032,0.00789897451282074,7.75073371693291,0.05,0.05,2,0.125187067230578,0.0620378494044438
"AT-7519","success",756,13,0.0427347521682346,0.0386700711512204,9.51141825045031,0.05,0.8,1,0.224077326031574,0.0146926536264609
"TAK-715","success",760,13,0.00392612939779277,0.00374782488081899,4.54148345375533,0.05,0.05,4,0.0807890675060755,0.0137494516434587
"BX-912","success",757,13,0.022408999309787,0.0209575029164234,6.47729232929059,1,0.05,1,0.0126713963454164,0.0476552701889333
"ZSTK474","success",758,13,0.0333952880045679,0.0311454526198143,6.73698452442111,0.05,0.05,4,0.199595343266635,0.0714048058389087
"AS605240","success",755,13,0.029923065026326,0.0299493961322123,-0.0879960186669646,0.1,0.05,4,0.141175753315039,0.0958717038995442
"Genentech Cpd 10","success",759,13,0.0230255393334663,0.0215380668952333,6.46009814011631,0.05,0.05,4,0.19355028091384,0.0434961364783867
"GSK1070916","success",733,13,0.0427432652631418,0.0374944302255141,12.2799112452315,0.05,0.05,1,0.278642707570394,0.0376376738748599
"AKT inhibitor VIII_repl_228","success",760,13,0.0162942030380117,0.0147527395396911,9.46019571945053,0.05,0.05,4,0.154054012626954,0.0581990431885384
"Enzastaurin","success",757,13,0.0221074525182758,0.0219975730087708,0.497024745000358,0.05,0.05,0.125,0.186911285961962,1.63669022282465
"GSK429286A","success",759,13,0.00466116215607232,0.00460329954243878,1.24137740108786,0.05,0.05,0.125,0.131329810764877,1.05173204433954
"FMK","success",642,11,0.000956834471056511,0.000932644766986765,2.52809705350983,0.05,0.3,4,0.196045293831255,0.00662563295290933
"QL-XII-47","success",756,13,0.0340378250640351,0.0332748032912007,2.2416878029044,0.1,1,2,0.154711449935333,0.0118124523597992
"Idelalisib","success",759,13,0.0100885512757969,0.00907141775555481,10.0820572987747,0.05,0.05,2,0.162135558545614,0.0234201531892323
"UNC0638_repl_245","success",755,13,0.0150180146211391,0.0140212912522906,6.63685176764652,0.1,0.1,4,0.0932005913359017,0.0343429035652677
"Cabozantinib","success",758,13,0.0100001460174185,0.00876606632709525,12.3406167087326,1,0.05,4,0.00922313191639025,0.0133516933924912
"WZ3105","success",759,13,0.0252439405413105,0.0230272969290122,8.78089380962867,1,1,1,0.00964625555942462,0.00766139950992606
"XMD14-99","success",759,13,0.00167437532052356,0.00148154121842911,11.5167788088368,0.05,1,0.5,0.0594826696473521,0.00251105098670966
"Quizartinib","success",758,13,0.00643279254705906,0.00617225177441016,4.05019702940693,0.5,0.05,4,0.0460792918001998,0.0424523038043946
"CP724714","success",759,13,0.00300102987715741,0.00287374053909697,4.24152185319135,0.05,0.9,2,0.112041722540469,0.00322139328551371
"JW-7-24-1","success",759,13,0.0226371581502502,0.0208933019481193,7.70351203342924,0.05,0.05,4,0.166946786962238,0.0658924196284105
"NPK76-II-72-1","success",758,13,0.0175960582690285,0.0153029848188342,13.0317450370711,1,0.1,2,0.0128498353813352,0.0624676887300265
"STF-62247","success",757,13,0.00148170292188836,0.00139908929189681,5.57558662881438,0.05,1,1,0.0804776192473699,0.0028443967046043
"NG-25","success",758,13,0.0219534262047255,0.0171391506147919,21.9294954010294,1,0.3,2,0.0145552995360589,0.0191362592417021
"TL-1-85","success",758,13,0.0157973240288686,0.0123284412756342,21.9586731708187,0.05,0.15,1,0.11892576291215,0.0216818311769503
"VX-11e","success",758,13,0.0117522961608173,0.0114915845058632,2.21838908232518,0.15,1,1,0.0642970137878942,0.00435767890497715
"FR-180204","success",758,13,0.00140417374977492,0.00137591142486332,2.01273702176326,1,0.05,2,0.00783390223802661,0.0311325869201581
"Tubastatin A","success",756,13,0.00537303260531307,0.00476033002163868,11.4032917475417,0.05,1,2,0.126772082596102,0.00398289370394501
"Zibotentan","success",758,13,0.000184807332385612,0.000184807332385612,-5.8666620987919e-14,0.05,0.05,0.125,0.125997567661097,1.2712865893534
"Sepantronium bromide","success",732,13,0.0603056059096046,0.0578061890032335,4.14458468441174,1,1,1,0.026463692411267,0.0242456469129506
"NSC-207895","success",754,13,0.0073278486934947,0.00718446653584814,1.95667464823414,0.05,0.05,4,0.164758422693854,0.0735816579135921
"VNLG/124","success",756,13,0.00309572153868684,0.00287888736146879,7.00431787899211,0.7,1,0.25,0.00916092355707913,0.00295758944479373
"AR-42","success",751,13,0.0353967114278497,0.0324718300098774,8.26314451254657,0.05,0.05,2,0.248676160898575,0.134814949319371
"CUDC-101","success",744,13,0.0381734603541506,0.0357117442356237,6.44876334418879,0.05,0.8,2,0.26402758474856,0.0151974170300476
"Belinostat","success",735,13,0.0454686618635747,0.0422061108823524,7.17538376434138,0.05,0.1,4,0.278785939493776,0.0635483904926719
"I-BET-762","success",757,13,0.016293448166895,0.0143267476759673,12.0704989562836,1,0.05,2,0.0121811141226076,0.0864850244980385
"CAY10603","success",754,13,0.0362820024463422,0.0331525952847039,8.62523276179797,0.05,0.05,2,0.21629459262813,0.153739465429384
"Linifanib","success",759,13,0.00685879135857141,0.00670617324446118,2.2251458913313,0.05,0.05,4,0.220751540664119,0.171331227935049
"BIX02189","success",758,13,0.00548187292090532,0.00473009500380426,13.7138880807347,0.05,0.05,2,0.093972204090408,0.0380629226896221
"Alectinib","success",756,13,0.00853070323087053,0.00792564673685709,7.09269186418164,0.8,0.6,0.125,0.0405134421960053,0.0224658359216047
"Pelitinib","success",758,13,0.0292863015255659,0.0287855481006832,1.70985545732208,0.05,0.05,4,0.239087586954912,0.0491616323025249
"Omipalisib","success",759,13,0.0432279701319115,0.0413475834177656,4.34993063150513,0.05,0.05,2,0.275583110444461,0.186575941783848
"KIN001-236","success",758,13,0.00108353754969867,0.000927090893377175,14.4385080484752,0.05,1,2,0.0434262327127896,0.00218921679261628
"KIN001-244","success",757,13,0.0115304702156639,0.0104723959528595,9.17633230054223,0.05,0.05,2,0.163761279386496,0.103761080072196
"WHI-P97","success",758,13,0.00316498302895885,0.00312609380487766,1.22873404771416,0.05,0.05,2,0.119732399934925,0.0586009500678402
"KIN001-260","success",757,13,0.00406136512962695,0.00346058491220858,14.7925684651149,0.05,0.6,4,0.0906097857266681,0.00146114037581729
"KIN001-266","success",758,13,0.00493696293739668,0.00491997853799976,0.344025256261659,0.05,0.05,1,0.10764300390908,0.141332721356608
"Masitinib","success",758,13,0.00962346390074181,0.00875871250944349,8.98586413600682,0.9,0.5,1,0.00756951491732146,0.0124363694550421
"Amuvatinib","success",752,13,0.0233940174325252,0.022878844367704,2.20215730926583,0.05,0.05,0.125,0.358337993450893,2.1952949578136
"MPS-1-IN-1","success",756,13,0.00872653033358416,0.0072177098803569,17.2900384866657,0.05,0.05,4,0.169271624191781,0.0210638615316292
"NVP-BHG712","success",758,13,0.0211161483147326,0.0179560483167706,14.9653239353184,0.05,0.05,2,0.195950518868066,0.101379568928276
"OSI-930","success",758,13,0.00367162232316156,0.00340953165419121,7.13827964594871,0.05,0.15,2,0.109763744474831,0.0078093186419282
"OSI-027","success",757,13,0.0664521097760264,0.0629558979240662,5.26125034064984,0.05,0.05,4,0.340790481050004,0.14055520753015
"CX-5461","success",757,13,0.0303337100373617,0.0260845084150649,14.0081830315616,1,0.05,2,0.0191647684067361,0.0342848518068467
"PHA-793887","success",759,13,0.0356566851312723,0.0314531096853938,11.7890247800736,0.05,0.15,1,0.212939785892907,0.0513666051570854
"PI-103","success",754,13,0.0586975957178331,0.0564777195988334,3.78188593902715,0.05,0.05,2,0.225779326348507,0.191370572978711
"PIK-93","success",758,13,0.0294463576900184,0.0228254099983954,22.4847764240373,0.05,1,4,0.199340109651012,0.00362721217398363
"SB52334","success",757,13,0.00811924228969814,0.00782572232590538,3.61511522035969,0.05,0.05,4,0.219486668021026,0.0308909192465877
"TPCA-1","success",758,13,0.0230358788609607,0.0187118193803924,18.7709768169357,1,0.05,4,0.0140469399435793,0.0531469992666731
"Fedratinib","success",759,13,0.0175516076596011,0.0159066730130386,9.3719884723076,0.05,0.05,4,0.187609669782909,0.0578429000557121
"WIKI4","success",756,13,0.0210859300865235,0.0200381107143965,4.96928220774436,0.05,0.2,4,0.162645108464166,0.0237004763871484
"Y-39983","success",758,13,0.00856771632374507,0.00792674724171298,7.48121270373612,0.05,0.05,2,0.13631169227207,0.0902639254976786
"YM201636","success",758,13,0.00753484679553434,0.00658214019772474,12.6440075513445,0.05,0.05,4,0.164593734194529,0.0404427392953066
"Tivozanib","success",757,13,0.00174165133791081,0.00158231062073211,9.14882983237222,0.1,0.1,4,0.0592634258190784,0.00903816004340211
"GSK690693","success",758,13,0.0248984025763746,0.0232671157893161,6.55177287801719,0.05,0.05,4,0.255833893837215,0.0854114889389246
"QL-XI-92","success",759,13,0.00537739669913967,0.00493428966656789,8.24017749411479,1,0.05,1,0.00786688970809475,0.065155955851392
"XMD13-2","success",758,13,0.00687879745078353,0.00614772361725737,10.6279308085004,0.05,0.05,4,0.104574650715925,0.0340775630742629
"QL-X-138","success",747,13,0.0305679134308724,0.0275252184854697,9.95388498558635,0.05,0.1,4,0.221435926830812,0.0711579679837419
"XMD15-27","success",759,13,0.000786447870915692,0.000771490394663147,1.90190307656745,0.05,0.05,0.25,0.0681492256201591,0.175017467731685
"T0901317","success",752,13,0.00462387732491282,0.00448481131130794,3.00756278406462,0.05,0.05,4,0.220567200675368,0.0668000367189953
"Selisistat","success",756,13,0.000243454103252557,0.000243454003835945,4.08358744996012e-05,0.05,0.05,0.125,0.104245454585838,1.05549038209598
"THZ-2-49","success",756,13,0.0474794169619768,0.0427482733792192,9.96462021963424,0.05,0.05,4,0.287696318835609,0.0730608429452114
"KIN001-270","success",758,13,0.000850600509007119,0.00080678794067746,5.15078087371473,0.05,1,2,0.0328040291480851,0.00200188311731679
"AICA Ribonucleotide","success",678,12,0.0115383862968197,0.0106443905512132,7.74801365293997,0.05,0.15,2,0.14732993264542,0.0312583803944922
"Camptothecin","success",684,12,0.0428494955962524,0.0405096877346998,5.46052603185653,1,1,1,0.0102645091696288,0.008595792977861
"Vinblastine","success",685,12,0.0335845838268718,0.0323995236858699,3.52858367133818,0.05,0.05,1,0.248764486757516,0.180624434888502
"Cisplatin","success",685,12,0.00618795074783223,0.00597492290652487,3.44262341425371,0.05,0.05,4,0.110462360509446,0.0212696179015406
"Cytarabine","success",682,12,0.0306003100714139,0.0289432204765148,5.41527060030374,0.05,0.05,4,0.32650994028931,0.0732657267043236
"Docetaxel","success",685,12,0.0186396133750115,0.0166590643394358,10.6254834568126,0.05,0.9,2,0.14995629136681,0.00443072150185007
