"drug","status","n_samples","n_tissues","mse_tglasso","error","mse_en","mse_dsen"
"TL-1-85","success",758,13,0.0235909637437341,NA,0.0157973240288686,0.0123284412756342
"VX-11e","success",758,13,0.0128318213016881,NA,0.0117522961608173,0.0114915845058632
"FR-180204","success",758,13,0.00143354924309948,NA,0.00140417374977492,0.00137591142486332
"Tubastatin A","success",756,13,0.00667319302552044,NA,0.00537303260531307,0.00476033002163868
"Zibotentan","success",758,13,0.000187748837689588,NA,0.000184807332385612,0.000184807332385612
"Sepantronium bromide","success",732,13,0.0661158917782012,NA,0.0603056059096046,0.0578061890032335
"NSC-207895","success",754,13,0.00774901761483799,NA,0.0073278486934947,0.00718446653584814
"VNLG/124","success",756,13,0.00379453422382132,NA,0.00309572153868684,0.00287888736146879
"AR-42","success",751,13,0.0458000574497396,NA,0.0353967114278497,0.0324718300098774
"CUDC-101","success",744,13,0.0483645490461754,NA,0.0381734603541506,0.0357117442356237
"Belinostat","success",735,13,0.0559565490614179,NA,0.0454686618635747,0.0422061108823524
"I-BET-762","success",757,13,0.0264638794495502,NA,0.016293448166895,0.0143267476759673
"CAY10603","success",754,13,0.0468165201621653,NA,0.0362820024463422,0.0331525952847039
"Linifanib","success",759,13,0.00702241450570052,NA,0.00685879135857141,0.00670617324446118
"BIX02189","success",758,13,0.00667733010964081,NA,0.00548187292090532,0.00473009500380426
"Alectinib","success",756,13,0.00878677423007109,NA,0.00853070323087053,0.00792564673685709
"Pelitinib","success",758,13,0.0331908279084059,NA,0.0292863015255659,0.0287855481006832
"Omipalisib","success",759,13,0.0504782113430386,NA,0.0432279701319115,0.0413475834177656
"KIN001-236","success",758,13,0.00122852136780167,NA,0.00108353754969867,0.000927090893377175
"KIN001-244","success",757,13,0.0145218830496848,NA,0.0115304702156639,0.0104723959528595
"WHI-P97","success",758,13,0.00327037220230256,NA,0.00316498302895885,0.00312609380487766
"KIN001-260","success",757,13,0.0051199041061364,NA,0.00406136512962695,0.00346058491220858
"KIN001-266","success",758,13,0.00525111335951161,NA,0.00493696293739668,0.00491997853799976
"Masitinib","success",758,13,0.0123261436919304,NA,0.00962346390074181,0.00875871250944349
"Amuvatinib","success",752,13,0.0243321425014469,NA,0.0233940174325252,0.022878844367704
"MPS-1-IN-1","success",756,13,0.0097726311075068,NA,0.00872653033358416,0.0072177098803569
"NVP-BHG712","success",758,13,0.0267392834741399,NA,0.0211161483147326,0.0179560483167706
"OSI-930","success",758,13,0.00395336512110374,NA,0.00367162232316156,0.00340953165419121
"OSI-027","success",757,13,0.082394080646814,NA,0.0664521097760264,0.0629558979240662
"CX-5461","success",757,13,0.0364457916622826,NA,0.0303337100373617,0.0260845084150649
"PHA-793887","success",759,13,0.0497385646138922,NA,0.0356566851312723,0.0314531096853938
"PI-103","success",754,13,0.0744114024101387,NA,0.0586975957178331,0.0564777195988334
"PIK-93","success",758,13,0.0382569131158415,NA,0.0294463576900184,0.0228254099983954
"SB52334","success",757,13,0.00836611994362317,NA,0.00811924228969814,0.00782572232590538
"TPCA-1","success",758,13,0.029064132048894,NA,0.0230358788609607,0.0187118193803924
"Fedratinib","success",759,13,0.0239154659818894,NA,0.0175516076596011,0.0159066730130386
"WIKI4","success",756,13,0.0248192014078714,NA,0.0210859300865235,0.0200381107143965
"Y-39983","success",758,13,0.0103948055455882,NA,0.00856771632374507,0.00792674724171298
"YM201636","success",758,13,0.00852503546962021,NA,0.00753484679553434,0.00658214019772474
"Tivozanib","success",757,13,0.00178442582501036,NA,0.00174165133791081,0.00158231062073211
"GSK690693","success",758,13,0.0309549054401666,NA,0.0248984025763746,0.0232671157893161
"QL-XI-92","success",759,13,0.00677544230668792,NA,0.00537739669913967,0.00493428966656789
"XMD13-2","success",758,13,0.0084396475879677,NA,0.00687879745078353,0.00614772361725737
"QL-X-138","success",747,13,0.03742550497488,NA,0.0305679134308724,0.0275252184854697
"XMD15-27","success",759,13,0.000813890222307746,NA,0.000786447870915692,0.000771490394663147
"T0901317","success",752,13,0.00487789069792627,NA,0.00462387732491282,0.00448481131130794
"Selisistat","success",756,13,0.000252219962758245,NA,0.000243454103252557,0.000243454003835945
"THZ-2-49","success",756,13,0.0559150922838825,NA,0.0474794169619768,0.0427482733792192
"KIN001-270","success",758,13,0.000975470966029625,NA,0.000850600509007119,0.00080678794067746
"AICA Ribonucleotide","success",678,12,0.0141301868495809,NA,0.0115383862968197,0.0106443905512132
"Camptothecin","success",684,12,0.0492003792748328,NA,0.0428494955962524,0.0405096877346998
"Vinblastine","success",685,12,0.0392072811078958,NA,0.0335845838268718,0.0323995236858699
"Cisplatin","success",685,12,0.00660420848330845,NA,0.00618795074783223,0.00597492290652487
"Cytarabine","success",682,12,0.0332335381074906,NA,0.0306003100714139,0.0289432204765148
"Docetaxel","success",685,12,0.0215469938820381,NA,0.0186396133750115,0.0166590643394358
"Methotrexate","success",684,12,0.0243083638782466,NA,0.0172048363421,0.0149786387532436
"Tretinoin","success",675,12,0.0120435963615788,NA,0.0110907191663181,0.0107040166946942
"Gefitinib","success",682,12,0.00528570188401621,NA,0.00489871200110482,0.00404651788063099
"Navitoclax","success",706,13,0.0366362369912407,NA,0.0304771781561346,0.0282412381446065
"Vorinostat","success",686,12,0.0220856251887482,NA,0.0169707775590949,0.0154709881345816
"Nilotinib","success",649,12,0.0164535682896638,NA,0.00968717296524351,0.00771914671709674
"Refametinib_repl_1014","success",675,12,0.0342252400266207,NA,0.0273062198225003,0.0263196109842175
"CI-1040","success",681,12,0.0245353803835543,NA,0.0209529003167445,0.0195399419260148
"Temsirolimus","success",676,12,0.0342586615163669,NA,0.0312977419305334,0.0304144121988512
"Olaparib_repl_1017","success",686,12,0.00186865600545161,NA,0.00179565634676234,0.00176922555468158
"Veliparib","success",685,12,0.000439604953362215,NA,0.000425801512026815,0.000421952256820796
"Bosutinib","success",686,12,0.0095637617303553,NA,0.00894622468726361,0.00804999129853376
"Lenalidomide","success",686,12,0.00101816355819295,NA,0.000981899590738237,0.000981622711024487
"Axitinib","success",683,12,0.0081277699465963,NA,0.00686571293328049,0.00636415167288916
"AZD7762","success",684,12,0.0322962455192455,NA,0.0258540400892153,0.0236168680833058
"GW441756","success",684,12,0.00505185249661196,NA,0.00503185807927945,0.00499970661312224
"Lestauritinib","success",684,12,0.0357854448332184,NA,0.0286275419392055,0.0268806506019054
"SNX-2112","success",753,13,0.0692317221384665,NA,0.0531887960529019,0.0469316006442209
"THZ-2-102-1","success",748,13,0.0879145986231966,NA,0.0705808360629076,0.0652282378212832
"SB216763","success",590,11,0.00073599433497366,NA,0.000691454860642289,0.00068130835347933
"Erlotinib","success",224,3,0.00427975790545641,NA,0.00378240671366121,0.00381195332178906
"Rapamycin","success",227,3,0.0547643939360369,NA,0.0455823438005854,0.044040236388504
"Sunitinib","success",261,4,0.0296003274753159,NA,0.0220516785214619,0.0191266172663737
"PHA-665752","success",266,4,0.00140418293496836,NA,0.00138612221185996,0.0013617812093473
"MG-132","success",264,4,0.0165876637673452,NA,0.0146231863149554,0.0134031490254026
"Paclitaxel","success",262,4,0.0375089583440474,NA,0.0345517684515201,0.0335077425586086
"Cyclopamine","success",262,4,0.00160782404426859,NA,0.00146375899315558,0.00145625848884222
"AZ628","success",268,4,0.0293711356222924,NA,0.0251307170627777,0.0235717674095804
"Sorafenib","success",266,4,0.0182932370005192,NA,0.0171382840273768,0.0158860021223379
"Tozasertib","success",257,4,0.0435598301902157,NA,0.0386117227107989,0.0347968441748013
"Imatinib","success",266,4,0.0100967226097545,NA,0.00762495541959228,0.0067193812373954
"NVP-TAE684","success",264,4,0.0299406203070159,NA,0.026996886128683,0.025138919355499
"Crizotinib","success",264,4,0.00638501247071961,NA,0.00549414304322656,0.00489078096758484
"Saracatinib","success",266,4,0.00713867241686803,NA,0.00665253191822843,0.00630405788336637
"S-Trityl-L-cysteine","success",261,4,0.0205271999683894,NA,0.0168807135061401,0.016322547488955
"Z-LLNle-CHO","success",261,4,0.012649156737429,NA,0.00805362945836515,0.00765110116624647
"Dasatinib","success",258,4,0.0706622087214012,NA,0.0644228029306228,0.0566045843922563
"GNF-2","success",236,3,0.00351631714435897,NA,0.00323736294095815,0.00250166892106271
"CGP-60474","success",261,4,0.0171387043303078,NA,0.014592421648643,0.014198389938062
"CGP-082996","success",261,4,0.00299720572666331,NA,0.00266037941132944,0.00250319357718812
"A-770041","success",262,4,0.0352999069122633,NA,0.0330535838651078,0.0326052549825084
"WH-4-023","success",259,4,0.0480976330142729,NA,0.044550449895806,0.0380105275905322
"WZ-1-84","success",261,4,0.00321119654685837,NA,0.00315899066766918,0.00301687303490239
"BI-2536","success",236,3,0.0259061267033771,NA,0.0236945927676779,0.0242014119968504
"BMS-536924_repl_62","success",261,4,0.0251578301674468,NA,0.0240846822833351,0.0241680927915103
"BMS-509744","success",262,4,0.00422754260943591,NA,0.00415268712457694,0.00414810012856329
"CMK","success",261,4,0.00647778713180154,NA,0.00595568199848979,0.00576226233341873
"Pyrimethamine","success",265,4,0.0135586247111318,NA,0.0118153352637331,0.0110346211779162
"JW-7-52-1","success",236,3,0.068427880812295,NA,0.0471632024955502,0.0449258522062457
"A-443654","success",261,4,0.0186192543446309,NA,0.0176136978941067,0.0173546565302035
"GW843682X","success",262,4,0.0442056666202711,NA,0.0395102013578125,0.0386097226162865
"Entinostat","success",267,4,0.0314007627191638,NA,0.029052488136054,0.0289175838846574
"Parthenolide","success",266,4,0.00430629203637926,NA,0.00398335452725107,0.00395953112658448
"GSK319347A","success",265,4,0.000394636891851429,NA,0.000346800821929366,0.000341155514082667
"TGX221","success",263,4,0.00528335216820668,NA,0.00440317975079765,0.00372907135467841
"Bortezomib","success",266,4,0.0359386684972973,NA,0.0308202967067919,0.0294071648370775
"XMD8-85","success",263,4,0.00771900250379336,NA,0.0065189232296706,0.0066376568032081
"Seliciclib","success",265,4,0.0020415542003204,NA,0.00189380184559638,0.00179520008902767
"Salubrinal","success",264,4,0.00490812189838243,NA,0.00433745012740484,0.00429906572746556
"Lapatinib","success",265,4,0.00309443249902923,NA,0.00282336462240331,0.00273035107384898
"GSK269962A_repl_127","success",266,4,0.0209396278030565,NA,0.0196804215685319,0.0187864799519027
