"drug","method","selection","n_resistance_genes","n_sensitivity_genes","n_og_in_resistance","n_tsg_in_sensitivity","n_og_in_sensitivity","n_tsg_in_resistance","odds_ratio_og_resistance","odds_ratio_ha_og_resistance","p_og_resistance","odds_ratio_tsg_sensitivity","odds_ratio_ha_tsg_sensitivity","p_tsg_sensitivity","resistance_genes_found","sensitivity_genes_found","p_og_resistance_bh","p_tsg_sensitivity_bh"
"SB216763","EN","freq50",1,7,0,1,1,0,0,47.2123700054735,1,23.3935098890477,32.3598499061914,0.0485993120890705,"","SMAD3;WWTR1",1,0.139987148952214
"Erlotinib","DSEN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"Erlotinib","EN","freq50",0,1,0,0,0,0,NA,141.64039408867,1,0,46.5958941112912,1,"","",1,1
"Rapamycin","DSEN","freq50",2,3,1,0,0,0,141.798984214153,142.103789126853,0.0139497425329623,0,19.9687427645288,1,"AKT1","",0.0999103181414869,1
"Rapamycin","EN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"Sunitinib","DSEN","freq50",2,3,0,1,0,0,0,28.3267651888342,1,70.1678740665494,84.1434146341463,0.0211241228056388,"","PTEN",1,0.186596418116476
"Sunitinib","EN","freq50",3,22,0,2,1,0,0,20.2329345531316,1,14.0872652879126,17.1509569092428,0.0105438970716609,"","BAX;PTEN;U2AF1",1,0.0443513130792086
"PHA-665752","DSEN","freq50",6,0,0,0,0,0,0,10.893899204244,1,NA,139.790923824959,1,"","",1,1
"PHA-665752","EN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"MG-132","DSEN","freq50",68,52,1,2,0,1,2.12113927992354,3.15302947098664,0.379974711719068,5.63006311459946,6.95742412740458,0.0527020824297322,"ARHGAP5;PTPRD","NF1;PTEN",1,0.349151296096976
"MG-132","EN","freq50",3,1,0,0,0,0,0,20.2329345531316,1,0,46.5958941112912,1,"","",1,1
"Paclitaxel","DSEN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"Paclitaxel","EN","freq50",2,2,0,0,0,0,0,28.3267651888342,1,0,27.9568881685575,1,"","",1,1
"Cyclopamine","DSEN","freq50",23,6,2,0,1,2,13.585671228936,16.5706323275034,0.0112117087816955,0,10.7516519137265,1,"AKT1;ELF4;MSH2","STAT3",0.0999103181414869,1
"Cyclopamine","EN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"AZ628","DSEN","freq50",2,0,0,0,0,0,0,28.3267651888342,1,NA,139.790923824959,1,"","",1,1
"AZ628","EN","freq50",13,14,1,0,2,3,11.8554864714874,17.0481054365733,0.0872774300183983,0,4.81881182585369,1,"EXT2;RB1;TP53","MAP2K1;NRAS",0.226750185832113,1
"Sorafenib","DSEN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
