"drug","method","selection","n_selected_genes","n_cosmic_in_selected","n_cosmic_in_universe","odds_ratio","odds_ratio_ha","p_value","cosmic_genes_found","p_adj_bh"
"ZM447439","EN","top50",50,5,545,8.81388568466581,9.58165516259873,0.000406267666828877,"ASXL1;MAP2K1;NOTCH1;PRKAR1A;WT1",0.00122341967851878
"RO-3306","DSEN","freq25",8,2,545,26.3002826982032,30.3464015285542,0.00418572073447178,"EGFR;NRG1",0.00972996486521948
"RO-3306","DSEN","freq50",4,1,545,26.2528009503212,33.7548209366391,0.0492570741523153,"NRG1",0.133195149493506
"RO-3306","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"RO-3306","DSEN","top50",50,6,545,10.8365410698781,11.5999729254095,3.77841278587093e-05,"CDKN1A;EGFR;MAPK1;MET;NRG1;WWTR1",0.000135308025439973
"RO-3306","EN","freq25",24,4,545,15.8451851750449,17.3779474359841,0.000213445547721131,"EGFR;LRP1B;NRG1;WWTR1",0.000387418288671916
"RO-3306","EN","freq50",4,2,545,78.8657249878915,78.9080036798528,0.000927364968499253,"EGFR;NRG1",0.00231841242124813
"RO-3306","EN","freq75",2,1,545,78.7240050418944,78.7649219467401,0.0249389564804046,"NRG1",0.0688419111177834
"RO-3306","EN","top50",50,2,545,3.2870923356371,4.06306015800605,0.130132551358378,"EGFR;NRG1",0.156041294615249
"MK-2206","DSEN","freq25",0,0,545,NA,78.6223648029331,1,"",1
"MK-2206","DSEN","freq50",0,0,545,NA,78.6223648029331,1,"",1
"MK-2206","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"MK-2206","DSEN","top50",50,0,545,0,0.77753174034177,1,"",1
"MK-2206","EN","freq25",51,6,545,10.5958271823925,11.3447636700649,4.2370742685805e-05,"CARD11;EZH2;HRAS;MAP2K1;POLQ;WT1",8.44229083589347e-05
"MK-2206","EN","freq50",7,1,545,13.1345969378807,18.1744013562195,0.0846038210159644,"HRAS",0.134251572270842
"MK-2206","EN","freq75",1,0,545,0,26.2068438741216,1,"",1
"MK-2206","EN","top50",50,4,545,6.884833271359,7.65659905281029,0.00357811936258128,"ACVR1;HRAS;MAP2K1;WT1",0.00746615457546488
"Palbociclib","DSEN","freq25",177,6,545,2.78063462498626,3.0009835259405,0.0247981223613521,"CCNE1;CDKN2A;RB1;SMAD3;STIL;WT1",0.0475454925705555
"Palbociclib","DSEN","freq50",43,4,545,8.12227654632554,9.01493741014762,0.00205409148939537,"CDKN2A;RB1;SMAD3;WT1",0.0123712328338585
"Palbociclib","DSEN","freq75",12,4,545,39.6083268590457,41.9232524034545,1.12055089891454e-05,"CDKN2A;RB1;SMAD3;WT1",0.000593891976424703
"Palbociclib","DSEN","top50",50,4,545,6.884833271359,7.65659905281029,0.00357811936258128,"CDKN2A;RB1;SMAD3;WT1",0.00588945112474559
