"drug","method","selection","n_selected_genes","n_cosmic_in_selected","n_cosmic_in_universe","odds_ratio","odds_ratio_ha","p_value","cosmic_genes_found","p_adj_bh"
"Camptothecin","DSEN","freq50",16,2,545,11.275263438082,13.6010214763823,0.0167881216399275,"LRP1B;MDM2",0.0577773017478024
"Camptothecin","DSEN","freq75",3,0,545,0,11.230980751604,1,"",1
"Camptothecin","DSEN","top50",50,7,545,12.9611199026426,13.7180226042967,2.9517514972776e-06,"ATRX;BAX;CDKN2A;KMT2C;LRP1B;MDM2;TP53",1.73825365950792e-05
"Camptothecin","EN","freq25",94,11,545,10.6211700172416,11.0296880513995,2.96674168419976e-08,"APOBEC3B;BAP1;CCND1;CREBBP;CTNND2;ETV5;KDM5C;KMT2D;LRP1B;MDM2;TP53",9.95172843434095e-08
"Camptothecin","EN","freq50",12,1,545,7.16283442553289,10.2712899748473,0.140624026454555,"KDM5C",0.212944954345469
"Camptothecin","EN","freq75",2,1,545,78.7240050418944,78.7649219467401,0.0249389564804046,"KDM5C",0.0688419111177834
"Camptothecin","EN","top50",50,4,545,6.884833271359,7.65659905281029,0.00357811936258128,"APOBEC3B;CCND1;ETV5;KDM5C",0.00746615457546488
"Vinblastine","DSEN","freq25",207,10,545,4.0503019607635,4.23842144452718,0.000315173919373962,"CDKN2A;CTNNB1;ERBB3;KIT;MAP3K1;MTOR;NF1;SRC;STAT3;STK11",0.00103112455103827
"Vinblastine","DSEN","freq50",46,2,545,3.58593992716821,4.42869251522074,0.113505826402338,"CTNNB1;KIT",0.244545073143248
"Vinblastine","DSEN","freq75",14,0,545,0,2.71023104396473,1,"",1
"Vinblastine","DSEN","top50",50,4,545,6.884833271359,7.65659905281029,0.00357811936258128,"CDKN2A;CTNNB1;KIT;NF1",0.00588945112474559
"Vinblastine","EN","freq25",287,22,545,6.76465384155467,6.90002104479303,2.06477870883722e-11,"APC;BAX;BMPR1A;CDH1;CDH17;CDKN2A;CHST11;CREBBP;CTNNB1;CTNND2;EED;ERBB3;ETV5;IRF4;KDR;KIT;KMT2D;MAP2K4;NF1;ROS1;SRC;STIL",1.36791589460466e-10
"Vinblastine","EN","freq50",62,5,545,6.95597920984529,7.57988175200096,0.00109707106682927,"APC;CDH1;CTNNB1;KIT;KMT2D",0.00269188733990516
"Vinblastine","EN","freq75",14,2,545,13.1569439630312,15.7779208831647,0.0129430633736891,"APC;CTNNB1",0.0394242734945701
"Vinblastine","EN","top50",50,4,545,6.884833271359,7.65659905281029,0.00357811936258128,"APC;BAX;CHST11;STIL",0.00746615457546488
"Cisplatin","DSEN","freq25",68,9,545,12.1873196284357,12.7461761964805,1.84477969248466e-07,"CDH1;CDKN1A;ETV5;MAP2K1;MAP2K4;SMAD3;SYK;TP63;WWTR1",1.7459522089587e-06
"Cisplatin","DSEN","freq50",18,3,545,15.8178654806445,17.8453694068678,0.00139335110013351,"ETV5;SYK;WWTR1",0.00923095103838452
"Cisplatin","DSEN","freq75",4,0,545,0,8.73500356451777,1,"",1
"Cisplatin","DSEN","top50",50,7,545,12.9611199026426,13.7180226042967,2.9517514972776e-06,"CDKN1A;ETV5;MAP2K1;SMAD3;SYK;TP63;WWTR1",1.73825365950792e-05
"Cisplatin","EN","freq25",274,25,545,8.23154973886532,8.37261266047946,1.71419405510355e-14,"APC;ATRX;CARD11;CCND1;CDH1;CDKN1A;CREBBP;CTNNB1;ETV5;FAT4;FLT4;JUN;KDM5C;LRP1B;MAP2K1;MAP2K4;MYH9;PTPN13;PTPRB;STAG2;SYK;TP53;TP63;TSC2;WWTR1",1.68244972074978e-13
"Cisplatin","EN","freq50",48,7,545,13.5938219246193,14.3798033359063,2.22348975049923e-06,"ATRX;CTNNB1;ETV5;KDM5C;MAP2K4;SYK;WWTR1",1.09115700718944e-05
"Cisplatin","EN","freq75",7,0,545,0,5.24063550259701,1,"",1
"Cisplatin","EN","top50",50,2,545,3.2870923356371,4.06306015800605,0.130132551358378,"KDM5C;STAG2",0.156041294615249
"Cytarabine","DSEN","freq25",29,3,545,9.12297147881719,10.4351795496044,0.00563349685381663,"BAP1;CDH1;EED",0.0123378236881108
"Cytarabine","DSEN","freq50",7,0,545,0,5.24063550259701,1,"",1
"Cytarabine","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"Cytarabine","DSEN","top50",50,6,545,10.8365410698781,11.5999729254095,3.77841278587093e-05,"BAP1;CDH1;ETV5;MAP2K1;SMAD3;WWTR1",0.000135308025439973
"Cytarabine","EN","freq25",138,19,545,12.979780305508,13.2556950255695,1.40440672140203e-14,"ACVR1;BAP1;CDH1;CDKN2A;EED;ETV5;FOXP1;FUS;HRAS;KEAP1;KMT2D;LRP1B;MAP2K1;MYB;NCOR2;PRF1;TP53;TP63;WT1",1.48867112468615e-13
"Cytarabine","EN","freq50",21,4,545,18.6394918124904,20.3584487534626,0.000123860922820492,"CDKN2A;HRAS;KMT2D;LRP1B",0.00038166447148175
"Cytarabine","EN","freq75",2,0,545,0,15.7237396883593,1,"",1
"Cytarabine","EN","top50",50,7,545,12.9611199026426,13.7180226042967,2.9517514972776e-06,"ACVR1;HRAS;KMT2D;MAP2K1;MYB;PRF1;WT1",2.05845828099622e-05
"Docetaxel","DSEN","freq25",48,4,545,7.20000819495943,8.00108935852345,0.00308315066251381,"CCND2;CDKN1A;NRG1;WWTR1",0.00763584042585196
"Docetaxel","DSEN","freq50",13,2,545,14.3582517822988,17.1503139874405,0.0111862229266031,"CDKN1A;WWTR1",0.0435933687580855
"Docetaxel","DSEN","freq75",3,0,545,0,11.230980751604,1,"",1
"Docetaxel","DSEN","top50",50,4,545,6.884833271359,7.65659905281029,0.00357811936258128,"CCND2;CDKN1A;NRG1;WWTR1",0.00588945112474559
"Docetaxel","EN","freq25",362,29,545,7.18245383150584,7.28805345633089,4.12287237863205e-15,"AMER1;APC;ARID1B;BCL2;BRAF;CCND2;CCND3;CDKN1A;CDKN2A;CHEK2;DGCR8;EGFR;FANCG;FCRL4;ID3;KDR;LRP1B;MAPK1;NF2;NRAS;NRG1;NTRK1;PDGFRA;RB1;SMAD4;STAG1;STAT6;SYK;WWTR1",4.75026600146736e-14
"Docetaxel","EN","freq50",93,9,545,8.55626037061219,8.96987928552915,2.72866478943522e-06,"ARID1B;BCL2;BRAF;CDKN2A;EGFR;ID3;MAPK1;NRG1;WWTR1",1.2685897705269e-05
"Docetaxel","EN","freq75",25,4,545,15.0919833621818,16.569284287831,0.000251590271496834,"BRAF;EGFR;NRG1;WWTR1",0.0017545111038595
"Docetaxel","EN","top50",50,3,545,5.04437632548958,5.81887945670628,0.0249157138274356,"CDKN2A;ID3;NF2",0.0377295095101168
"Methotrexate","DSEN","freq25",42,1,545,1.92101415507368,2.84426964054565,0.411751117960404,"ERBB3",0.589805655456795
"Methotrexate","DSEN","freq50",10,0,545,0,3.74304919034525,1,"",1
"Methotrexate","DSEN","freq75",1,0,545,0,26.2068438741216,1,"",1
"Methotrexate","DSEN","top50",50,1,545,1.60706347255494,2.38414447505357,0.468329529136406,"ERBB3",0.534945367332532
"Methotrexate","EN","freq25",136,11,545,7.04498257027015,7.33127732288806,1.30381996162082e-06,"AKT1;BAX;CTNNB1;ERBB3;KDR;KMT2D;MYC;NF1;NOTCH1;TAF15;TET2",3.35448825077201e-06
"Methotrexate","EN","freq50",46,5,545,9.67505551557654,10.5061689867704,0.000273878368887294,"BAX;CTNNB1;ERBB3;MYC;NOTCH1",0.000772103912288647
"Methotrexate","EN","freq75",15,3,545,19.7831813264482,22.1298064516129,0.000798978133015427,"CTNNB1;ERBB3;MYC",0.00423458410498176
"Methotrexate","EN","top50",50,2,545,3.2870923356371,4.06306015800605,0.130132551358378,"MYC;NOTCH1",0.156041294615249
"Tretinoin","DSEN","freq25",37,3,545,6.97478009879479,8.01393174380552,0.0111267682200021,"BAX;ETV1;PTEN",0.0226814890638505
"Tretinoin","DSEN","freq50",8,1,545,11.2564690647652,15.7507805325987,0.0960921210561774,"PTEN",0.217644547691342
"Tretinoin","DSEN","freq75",2,1,545,78.7240050418944,78.7649219467401,0.0249389564804046,"PTEN",0.146862743717938
"Tretinoin","DSEN","top50",50,4,545,6.884833271359,7.65659905281029,0.00357811936258128,"BAX;ETV1;ETV6;PTEN",0.00588945112474559
"Tretinoin","EN","freq25",118,11,545,8.23483580585319,8.56244262188091,3.13732795630532e-07,"BAX;BCL2;CDKN1B;ERCC4;ETV1;ETV6;LRP1B;MAP2K2;PIK3R1;PTEN;TET2",8.8445947704352e-07
"Tretinoin","EN","freq50",27,4,545,13.7707906725561,15.1584251782873,0.000342182663072657,"BAX;BCL2;PTEN;TET2",0.000944566726190146
"Tretinoin","EN","freq75",8,2,545,26.3002826982032,30.3464015285542,0.00418572073447178,"BAX;PTEN",0.0165554626064929
"Tretinoin","EN","top50",50,3,545,5.04437632548958,5.81887945670628,0.0249157138274356,"CDKN1B;ERCC4;TET2",0.0377295095101168
"Gefitinib","DSEN","freq25",5,2,545,52.6641033315682,56.3615455381785,0.00153275219353312,"CDH1;EGFR",0.00423103470089873
"Gefitinib","DSEN","freq50",1,1,545,Inf,236.300275482094,0.012548062533097,"EGFR",0.045551185907818
"Gefitinib","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"Gefitinib","DSEN","top50",50,6,545,10.8365410698781,11.5999729254095,3.77841278587093e-05,"AR;CDH1;CTNNB1;EGFR;MSH2;RAF1",0.000135308025439973
"Gefitinib","EN","freq25",44,4,545,7.91919242153448,8.79214117164256,0.0022373506516077,"CDH1;EGFR;RHOA;TP53",0.0035291543016431
"Gefitinib","EN","freq50",9,1,545,9.85201591376079,13.8974234321828,0.107436503186848,"EGFR",0.167474549085381
"Gefitinib","EN","freq75",3,1,545,39.3956188016146,47.2578512396694,0.0371746468563612,"EGFR",0.094723859778228
"Gefitinib","EN","top50",50,3,545,5.04437632548958,5.81887945670628,0.0249157138274356,"CASP8;EGFR;RHOA",0.0377295095101168
"Navitoclax","DSEN","freq25",223,19,545,7.55746984617927,7.73059856922938,7.98426133331958e-11,"AR;ARHGAP26;ARID1A;ATRX;BAX;BCL2;CHD2;CHEK2;ERBB3;GLI1;IKZF1;KAT6A;MAPK1;PIK3R1;PTEN;RB1;RUNX1;SGK1;SYK",2.11582925332969e-09
"Navitoclax","DSEN","freq50",47,5,545,9.44423373744028,10.2587255808892,0.000303345301236536,"BAX;BCL2;MAPK1;PTEN;RB1",0.00259311305895749
"Navitoclax","DSEN","freq75",9,3,545,39.5371617236967,42.5632754342432,0.000156019267286339,"BAX;BCL2;PTEN",0.00378633411219891
"Navitoclax","DSEN","top50",50,7,545,12.9611199026426,13.7180226042967,2.9517514972776e-06,"BAX;BCL2;CHEK2;GLI1;MAPK1;PTEN;RB1",1.73825365950792e-05
"Navitoclax","EN","freq25",309,18,545,4.99904931534881,5.12501117768041,9.72014789282206e-08,"AKT1;ARID1A;BAX;BCL2;BCOR;BRAF;CHD2;CHEK2;ERBB3;IKZF1;MAPK1;NOTCH1;PALB2;PIK3R1;PTEN;RB1;SYK;XPO1",2.9270899904521e-07
"Navitoclax","EN","freq50",96,12,545,11.4668381264174,11.8688409132501,3.24642905403082e-09,"ARID1A;BAX;BCL2;CHD2;CHEK2;IKZF1;MAPK1;NOTCH1;PIK3R1;PTEN;RB1;SYK",4.59118788118575e-08
"Navitoclax","EN","freq75",29,4,545,12.6738279041907,13.9688773016132,0.000453991487787604,"BAX;BCL2;PIK3R1;RB1",0.00269364278369775
"Navitoclax","EN","top50",50,6,545,10.8365410698781,11.5999729254095,3.77841278587093e-05,"BAX;BCL2;CDKN1B;NOTCH1;RB1;XPO1",0.000164144162009147
"Vorinostat","DSEN","freq25",98,12,545,11.2012747460165,11.5938751076705,4.12697142665436e-09,"AKT1;BAX;CHEK2;CTNNB1;EED;ERBB3;FGFR4;MAML2;MAPK1;MDM2;PTEN;WWTR1",6.0758190447967e-08
"Vorinostat","DSEN","freq50",29,4,545,12.6738279041907,13.9688773016132,0.000453991487787604,"AKT1;CHEK2;ERBB3;PTEN",0.00353846306657986
"Vorinostat","DSEN","freq75",4,0,545,0,8.73500356451777,1,"",1
"Vorinostat","DSEN","top50",50,7,545,12.9611199026426,13.7180226042967,2.9517514972776e-06,"AKT1;BAX;CHEK2;CTNNB1;ERBB3;PTEN;WWTR1",1.73825365950792e-05
"Vorinostat","EN","freq25",272,27,545,9.07059922914182,9.21266499989198,1.84096814790882e-16,"AKT1;BAX;BCL2;CBL;CCND1;CDH17;CDKN1B;CHEK2;CHST11;COL2A1;CREBBP;CTNNB1;CTNND2;EGFR;ERBB3;FGFR4;KDR;KRAS;MAP2K1;MAPK1;MYC;NRAS;PIK3R1;PTEN;PTK6;RB1;WWTR1",3.25237706130558e-15
"Vorinostat","EN","freq50",75,10,545,12.3124974675403,12.8194881005837,3.56027541436815e-08,"AKT1;CHEK2;CTNNB1;ERBB3;KDR;KRAS;MAPK1;NRAS;PTEN;WWTR1",2.94835307752363e-07
"Vorinostat","EN","freq75",28,3,545,9.48844447719303,10.8446552814674,0.00509768595388259,"AKT1;CHEK2;CTNNB1",0.0198659820261601
"Vorinostat","EN","top50",50,3,545,5.04437632548958,5.81887945670628,0.0249157138274356,"CCND1;CTNNB1;MAP2K1",0.0377295095101168
"Nilotinib","DSEN","freq25",90,7,545,6.70927299535499,7.13984287692025,0.000143417644630192,"BAX;CDKN1B;ELF4;ERBB2;IKZF1;SYK;ZEB1",0.00052123960934429
"Nilotinib","DSEN","freq50",21,3,545,13.1793734694043,14.9504795117698,0.00220847378829761,"BAX;CDKN1B;ELF4",0.0125876349053189
"Nilotinib","DSEN","freq75",5,0,545,0,7.14665444546288,1,"",1
"Nilotinib","DSEN","top50",50,4,545,6.884833271359,7.65659905281029,0.00357811936258128,"CDKN1B;ELF4;IKZF1;MSH6",0.00588945112474559
"Nilotinib","EN","freq25",108,8,545,6.37354677412095,6.73288904315631,6.85591225978414e-05,"ASXL1;BAX;CDKN1B;ELF4;IKZF1;MTOR;NT5C2;ZEB1",0.000132614361229401
"Nilotinib","EN","freq50",16,2,545,11.275263438082,13.6010214763823,0.0167881216399275,"ELF4;IKZF1",0.0315521435076652
"Nilotinib","EN","freq75",3,0,545,0,11.230980751604,1,"",1
"Nilotinib","EN","top50",50,4,545,6.884833271359,7.65659905281029,0.00357811936258128,"ASXL1;ELF4;MTOR;NT5C2",0.00746615457546488
"Refametinib_repl_1014","DSEN","freq25",21,2,545,8.30910580233525,10.1124006321798,0.0281949098287176,"MAP2K1;SRC",0.0526172613000715
"Refametinib_repl_1014","DSEN","freq50",8,1,545,11.2564690647652,15.7507805325987,0.0960921210561774,"MAP2K1",0.217644547691342
"Refametinib_repl_1014","DSEN","freq75",3,0,545,0,11.230980751604,1,"",1
"Refametinib_repl_1014","DSEN","top50",50,6,545,10.8365410698781,11.5999729254095,3.77841278587093e-05,"AKT1;ERBB3;MAP2K1;MSI2;NOTCH1;SRC",0.000135308025439973
"Refametinib_repl_1014","EN","freq25",40,9,545,23.2162343483353,24.0918504711608,1.39761457230936e-09,"ASXL1;BRAF;CDKN2A;KRAS;MAP2K1;MITF;MYC;NRAS;RB1",5.90118470575679e-09
"Refametinib_repl_1014","EN","freq50",8,6,545,238.170280608687,206.681927710843,1.04108341463126e-10,"ASXL1;BRAF;KRAS;MAP2K1;MYC;NRAS",3.44858881096605e-09
"Refametinib_repl_1014","EN","freq75",6,5,545,396.667966136002,290.942028985507,1.81392890574747e-09,"ASXL1;BRAF;MAP2K1;MYC;NRAS",4.15788199211405e-07
"Refametinib_repl_1014","EN","top50",50,7,545,12.9611199026426,13.7180226042967,2.9517514972776e-06,"ASXL1;BRAF;CDKN2A;KRAS;MAP2K1;MYC;NRAS",2.05845828099622e-05
"CI-1040","DSEN","freq25",49,9,545,17.9809411824806,18.7341709525618,9.49963973372732e-09,"AKT1;ATM;BRAF;ERBB3;KRAS;MAP2K1;NRAS;SMAD3;TP53",1.25870226471887e-07
"CI-1040","DSEN","freq50",12,6,545,79.4374730645971,79.4856348470806,3.29179508462375e-09,"AKT1;BRAF;KRAS;MAP2K1;SMAD3;TP53",2.90775232475098e-07
"CI-1040","DSEN","freq75",3,3,545,Inf,553.4,1.96501443861846e-06,"BRAF;MAP2K1;TP53",0.000130182206558473
"CI-1040","DSEN","top50",50,10,545,20.0135557539578,20.7448559670782,5.84024470145415e-10,"AKT1;ATM;BRAF;ERBB3;KRAS;MAP2K1;NOTCH1;NRAS;SMAD3;TP53",2.57944140980892e-08
"CI-1040","EN","freq25",21,8,545,49.0745541894383,50.2245305770887,1.02958594614692e-10,"ASXL1;BRAF;CDKN2A;KRAS;MAP2K1;NRAS;RB1;TP53",5.56816889242724e-10
"CI-1040","EN","freq50",7,5,545,197.410846724641,174.561147086031,6.28298393178584e-09,"BRAF;CDKN2A;KRAS;MAP2K1;NRAS",7.23909018227499e-08
"CI-1040","EN","freq75",2,1,545,78.7240050418944,78.7649219467401,0.0249389564804046,"BRAF",0.0688419111177834
"CI-1040","EN","top50",50,7,545,12.9611199026426,13.7180226042967,2.9517514972776e-06,"ASXL1;BRAF;CDKN2A;KRAS;MAP2K1;NRAS;RB1",2.05845828099622e-05
"Temsirolimus","DSEN","freq25",7,1,545,13.1345969378807,18.1744013562195,0.0846038210159644,"NRG1",0.141898813729307
"Temsirolimus","DSEN","freq50",0,0,545,NA,78.6223648029331,1,"",1
"Temsirolimus","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"Temsirolimus","DSEN","top50",50,8,545,15.1966004761939,15.9428837209302,1.97355625821647e-07,"AKT1;CCND2;CDH1;CDKN1A;NRG1;PTEN;SYK;WWTR1",2.09196963370946e-06
"Temsirolimus","EN","freq25",155,13,545,7.35596818123046,7.60501111934767,9.36341419622448e-08,"AFF3;APC;CCND1;CDH1;CDKN1A;LRP1B;MAP2K1;NRG1;PDGFRA;POLQ;PRDM16;RB1;SYK",2.85207443907987e-07
"Temsirolimus","EN","freq50",30,5,545,15.8726073763264,17.1046598102701,3.35832902822994e-05,"APC;CCND1;MAP2K1;POLQ;RB1",0.000108531364936699
"Temsirolimus","EN","freq75",11,3,545,29.6442629573298,32.5468690702087,0.000300779014545912,"CCND1;POLQ;RB1",0.00194405948426017
"Temsirolimus","EN","top50",50,7,545,12.9611199026426,13.7180226042967,2.9517514972776e-06,"AFF3;CCND1;MAP2K1;NFKBIE;NPM1;POLQ;RB1",2.05845828099622e-05
"Olaparib_repl_1017","DSEN","freq25",16,1,545,5.25354676205273,7.61992357593531,0.182965850775659,"FGFR2",0.278654887675573
"Olaparib_repl_1017","DSEN","freq50",3,1,545,39.3956188016146,47.2578512396694,0.0371746468563612,"FGFR2",0.105927757171352
"Olaparib_repl_1017","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"Olaparib_repl_1017","DSEN","top50",50,4,545,6.884833271359,7.65659905281029,0.00357811936258128,"CDKN1B;FGFR2;NFATC2;NRG1",0.00588945112474559
"Olaparib_repl_1017","EN","freq25",4,0,545,0,8.73500356451777,1,"",1
"Olaparib_repl_1017","EN","freq50",0,0,545,NA,78.6223648029331,1,"",1
"Olaparib_repl_1017","EN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"Olaparib_repl_1017","EN","top50",50,1,545,1.60706347255494,2.38414447505357,0.468329529136406,"CDH17",0.500432762988498
"Veliparib","DSEN","freq25",4,1,545,26.2528009503212,33.7548209366391,0.0492570741523153,"FGFR2",0.0887967663290037
"Veliparib","DSEN","freq50",1,0,545,0,26.2068438741216,1,"",1
"Veliparib","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"Veliparib","DSEN","top50",50,6,545,10.8365410698781,11.5999729254095,3.77841278587093e-05,"EGFR;FGFR2;KDR;NRG1;RAF1;WWTR1",0.000135308025439973
"Veliparib","EN","freq25",3,0,545,0,11.230980751604,1,"",1
"Veliparib","EN","freq50",0,0,545,NA,78.6223648029331,1,"",1
"Veliparib","EN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"Veliparib","EN","top50",50,1,545,1.60706347255494,2.38414447505357,0.468329529136406,"PRKAR1A",0.500432762988498
"Bosutinib","DSEN","freq25",7,0,545,0,5.24063550259701,1,"",1
"Bosutinib","DSEN","freq50",1,0,545,0,26.2068438741216,1,"",1
"Bosutinib","DSEN","freq75",1,0,545,0,26.2068438741216,1,"",1
"Bosutinib","DSEN","top50",50,3,545,5.04437632548958,5.81887945670628,0.0249157138274356,"AKT1;EGFR;NRG1",0.0335160617475657
"Bosutinib","EN","freq25",137,10,545,6.29267992541346,6.5761630142253,9.84972698538489e-06,"ASXL1;BCORL1;CCND1;EGFR;LRP1B;MAP2K1;MYB;NOTCH1;PRDM2;RB1",2.19342659758571e-05
"Bosutinib","EN","freq50",23,6,545,28.0554008390029,29.5156626506024,3.19798021357443e-07,"ASXL1;LRP1B;MAP2K1;MYB;NOTCH1;RB1",2.01777322999339e-06
"Bosutinib","EN","freq75",5,2,545,52.6641033315682,56.3615455381785,0.00153275219353312,"ASXL1;RB1",0.00725320234439782
"Bosutinib","EN","top50",50,9,545,17.5422466173562,18.2823184630414,1.14567260110989e-08,"ASXL1;CCND1;EGFR;MAP2K1;MYB;NOTCH1;NT5C2;RB1;SETDB1",7.59008098235303e-07
"Lenalidomide","DSEN","freq25",0,0,545,NA,78.6223648029331,1,"",1
"Lenalidomide","DSEN","freq50",0,0,545,NA,78.6223648029331,1,"",1
"Lenalidomide","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"Lenalidomide","DSEN","top50",50,0,545,0,0.77753174034177,1,"",1
"Lenalidomide","EN","freq25",1,0,545,0,26.2068438741216,1,"",1
"Lenalidomide","EN","freq50",0,0,545,NA,78.6223648029331,1,"",1
"Lenalidomide","EN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"Lenalidomide","EN","top50",50,0,545,0,0.77753174034177,1,"",1
"Axitinib","DSEN","freq25",7,2,545,31.562966672767,35.8647654093836,0.00316553868715281,"ERBB3;FGFR2",0.00776729400088421
"Axitinib","DSEN","freq50",0,0,545,NA,78.6223648029331,1,"",1
"Axitinib","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"Axitinib","DSEN","top50",50,5,545,8.81388568466581,9.58165516259873,0.000406267666828877,"CDH1;ERBB3;FGFR2;FHIT;SET",0.000969918303690561
"Axitinib","EN","freq25",17,1,545,4.92496080714273,7.15794306703398,0.193221824503169,"ASXL1",0.241527280628961
"Axitinib","EN","freq50",3,1,545,39.3956188016146,47.2578512396694,0.0371746468563612,"ASXL1",0.0652402742843425
"Axitinib","EN","freq75",1,0,545,0,26.2068438741216,1,"",1
"Axitinib","EN","top50",50,4,545,6.884833271359,7.65659905281029,0.00357811936258128,"ASXL1;FCRL4;NT5C2;SMARCA4",0.00746615457546488
"AZD7762","DSEN","freq25",230,19,545,7.30608083563045,7.47351370282812,1.35793984430367e-10,"AKT1;BAX;CHEK2;CTNNB1;ERBB3;ESR1;ETV5;FLT3;LRP1B;MDM2;MET;NCOR2;PTPRB;RB1;STAT3;TEC;TP63;WT1;ZBTB16",3.27140053400429e-09
"AZD7762","DSEN","freq50",60,5,545,7.21144121302253,7.85339733813369,0.000945089690526575,"CTNNB1;ESR1;MDM2;RB1;WT1",0.00642176328178314
"AZD7762","DSEN","freq75",20,2,545,8.77082247785758,10.659265521271,0.0257200111582014,"CTNNB1;ESR1",0.148169629498334
"AZD7762","DSEN","top50",50,3,545,5.04437632548958,5.81887945670628,0.0249157138274356,"CTNNB1;ESR1;WT1",0.0335160617475657
"AZD7762","EN","freq25",398,32,545,7.24722663901558,7.34324002279517,1.38134328313948e-16,"ACVR1;ACVR2A;AKT1;ASXL1;BAX;CDH1;CHEK2;CTNNB1;DICER1;ERBB3;ESR1;ETV5;FLT3;GNAS;KMT2A;KMT2D;LCK;LRP1B;MDM2;MYB;MYC;NCOR2;PDGFRA;PIK3CA;POLQ;PTPRB;RB1;SRC;STAT3;TEC;TP63;WT1",2.61468550022831e-15
"AZD7762","EN","freq50",109,10,545,8.077625491024,8.43225933589516,1.2516827357899e-06,"CTNNB1;ERBB3;ESR1;ETV5;MDM2;MYC;PDGFRA;PTPRB;RB1;WT1",6.37876778816005e-06
"AZD7762","EN","freq75",26,4,545,14.4074325970139,15.8325023084026,0.000294396317776873,"CTNNB1;ESR1;PTPRB;RB1",0.00194405948426017
"AZD7762","EN","top50",50,2,545,3.2870923356371,4.06306015800605,0.130132551358378,"MYC;RB1",0.156041294615249
"GW441756","DSEN","freq25",44,5,545,10.1739190409738,11.0386421386667,0.00022149986727198,"CDH1;ERBB3;ERBB4;PRDM16;SGK1",0.000751210014999022
"GW441756","DSEN","freq50",16,1,545,5.25354676205273,7.61992357593531,0.182965850775659,"PRDM16",0.381779137445273
"GW441756","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"GW441756","DSEN","top50",50,5,545,8.81388568466581,9.58165516259873,0.000406267666828877,"CDH1;ERBB3;ERBB4;PRDM16;SGK1",0.000969918303690561
"GW441756","EN","freq25",10,1,545,8.75650243335025,12.4342467739597,0.118638767044696,"PRDM16",0.152617831392449
"GW441756","EN","freq50",0,0,545,NA,78.6223648029331,1,"",1
"GW441756","EN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"GW441756","EN","top50",50,2,545,3.2870923356371,4.06306015800605,0.130132551358378,"BIRC3;PRDM16",0.156041294615249
"Lestauritinib","DSEN","freq25",241,17,545,6.13163681771364,6.2927919290845,1.37538695942258e-08,"AKT1;ATM;BAP1;BAX;BAZ1A;CDK12;CTNNB1;ERBB3;JAK2;MDM2;MET;NDRG1;PTEN;PTPRB;SUFU;TP53;TP63",1.65671611021356e-07
"Lestauritinib","DSEN","freq50",64,3,545,3.88584871101681,4.49278783110412,0.0466435601931287,"AKT1;BAX;ERBB3",0.13149514309765
"Lestauritinib","DSEN","freq75",16,2,545,11.275263438082,13.6010214763823,0.0167881216399275,"AKT1;BAX",0.117075058804758
"Lestauritinib","DSEN","top50",50,3,545,5.04437632548958,5.81887945670628,0.0249157138274356,"AKT1;BAX;ERBB3",0.0335160617475657
"Lestauritinib","EN","freq25",383,28,545,6.48800813202979,6.58909884017204,1.19705672223726e-13,"AKT1;ASXL1;BAP1;BAX;BAZ1A;CCND3;CDH1;CREBBP;CTNNB1;DNM2;ERBB2;ERBB3;ETV5;IKBKB;JAK2;KMT2D;MAP2K1;NRAS;PDGFRA;PIK3R1;PRF1;PTEN;PTPRB;RB1;ROBO2;TNC;TP53;TP63",1.02329042384798e-12
"Lestauritinib","EN","freq50",85,8,545,8.28162591885352,8.73572993248312,1.2050082422214e-05,"AKT1;BAX;BAZ1A;CDH1;CTNNB1;ERBB3;RB1;TP53",4.49756597448834e-05
"Lestauritinib","EN","freq75",25,6,545,25.1187015972759,26.4871794871795,5.49218120773343e-07,"AKT1;BAX;CDH1;CTNNB1;ERBB3;TP53",1.21285668337447e-05
"Lestauritinib","EN","top50",50,0,545,0,0.77753174034177,1,"",1
"SNX-2112","DSEN","freq25",53,2,545,3.09349643169623,3.82610909155867,0.142945575248919,"CCNE1;ERBB2",0.225479627624783
"SNX-2112","DSEN","freq50",3,0,545,0,11.230980751604,1,"",1
"SNX-2112","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"SNX-2112","DSEN","top50",50,4,545,6.884833271359,7.65659905281029,0.00357811936258128,"CCNE1;ERBB2;GRIN2A;MECOM",0.00588945112474559
"SNX-2112","EN","freq25",43,8,545,18.2343346071801,19.0896691778578,5.75718911889738e-08,"CHST11;CTNNB1;ERBB2;ERBB3;KMT2D;NOTCH1;SRC;TET2",1.81625609108072e-07
