drug,threshold,n_en_genes,n_dsen_shared_genes,n_dsen_tissue_genes,n_dsen_combined_genes,en_genes_shared_only_pct,en_genes_tissue_only_pct,en_genes_both_pct,en_genes_in_neither_dsen_block_pct,jaccard_en_vs_dsen_shared,jaccard_en_vs_dsen_combined,jaccard_dsen_shared_vs_tissue
Pyrimethamine,0.5,0,0,4,4,NA,NA,NA,NA,NA,0,0
JW-7-52-1,0.5,1,4,0,4,100,0,0,0,0.25,0.25,0
A-443654,0.5,0,0,19,19,NA,NA,NA,NA,NA,0,0
GW843682X,0.5,18,0,2,2,0,5.555555555555555,0,94.44444444444444,0,0.05263157894736842,0
Entinostat,0.5,0,0,11,11,NA,NA,NA,NA,NA,0,0
Parthenolide,0.5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
GSK319347A,0.5,0,0,3,3,NA,NA,NA,NA,NA,0,0
TGX221,0.5,31,0,5,5,0,0,0,100,0,0,0
Bortezomib,0.5,5,21,50,65,0,20,40,40,0.08333333333333333,0.04477611940298507,0.09230769230769231
XMD8-85,0.5,21,5,35,39,9.523809523809524,4.761904761904762,0,85.71428571428571,0.08333333333333333,0.05263157894736842,0.02564102564102564
Seliciclib,0.5,78,62,9,66,43.58974358974359,0,3.8461538461538463,52.56410256410256,0.3592233009708738,0.34579439252336447,0.07575757575757576
Salubrinal,0.5,0,16,0,16,NA,NA,NA,NA,0,0,0
Lapatinib,0.5,0,16,49,54,NA,NA,NA,NA,0,0,0.2037037037037037
GSK269962A_repl_127,0.5,10,0,36,36,0,30,0,70,0,0.06976744186046512,0
