drug_name,target_gene,target_pathway,source
WH-4-023,SRC,"Other, kinases",GDSC
WZ-1-84,BMX,"Other, kinases",GDSC
BI-2536,PLK1,Cell cycle,GDSC
BMS-536924_repl_62,IGF1R,IGF1R signaling,GDSC
BMS-509744,ITK,"Other, kinases",GDSC
CMK,RSK2,"Other, kinases",GDSC
Pyrimethamine,DIHYDROFOLATE REDUCTASE (DHFR),Other,GDSC
JW-7-52-1,MTOR,PI3K/MTOR signaling,GDSC
A-443654,AKT1,PI3K/MTOR signaling,GDSC
GW843682X,PLK1,Cell cycle,GDSC
Entinostat,HDAC1,Chromatin histone acetylation,GDSC
Parthenolide,HDAC1,Chromatin histone acetylation,GDSC
GSK319347A,IKK,"Other, kinases",GDSC
TGX221,PI3KBETA,PI3K/MTOR signaling,GDSC
Bortezomib,PROTEASOME,Protein stability and degradation,GDSC
XMD8-85,ERK5,Other,GDSC
Seliciclib,CDK2,Cell cycle,GDSC
Salubrinal,EIF2A,Other,GDSC
Lapatinib,EGFR,RTK signaling,GDSC
GSK269962A_repl_127,ROCK1,Cytoskeleton,GDSC
