"drug","mse_en","mse_dsen","mse_tglasso","pct_improvement_dsen","pct_improvement_tglasso","winner"
"TL-2-105",0.00856264210122032,0.00789897451282074,0.0101893949962918,7.75073371693296,-18.9982586664417,"DSEN"
"AT-7519",0.0427347521682346,0.0386700711512204,0.0582207954553875,9.51141825045037,-36.2375876808382,"DSEN"
"TAK-715",0.00392612939779277,0.00374782488081899,0.00474937898992875,4.54148345375526,-20.9684783338726,"DSEN"
"BX-912",0.022408999309787,0.0209575029164234,0.0323942312581912,6.47729232929053,-44.5590265337873,"DSEN"
"ZSTK474",0.0333952880045679,0.0311454526198143,0.0385989587478003,6.7369845244211,-15.5820508046543,"DSEN"
"AS605240",0.029923065026326,0.0299493961322123,0.0320348755942355,-0.0879960186669877,-7.05746742872614,"EN"
"Genentech Cpd 10",0.0230255393334663,0.0215380668952333,0.0265200540885613,6.46009814011629,-15.1766901286691,"DSEN"
"GSK1070916",0.0427432652631418,0.0374944302255141,0.0561905596419511,12.2799112452315,-31.4606155987926,"DSEN"
"AKT inhibitor VIII_repl_228",0.0162942030380117,0.0147527395396911,0.0222098096639406,9.46019571945078,-36.3049767584751,"DSEN"
"Enzastaurin",0.0221074525182758,0.0219975730087708,0.0247605322911204,0.497024745000201,-12.0008389508079,"DSEN"
